Fund Holdings as of,"25/Aug/2026"

Ticker,Name,Type,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"TRI","THOMSON REUTERS CORP","EQUITY","Industrials","Equity","53,264,800.86","0.18","53,264,800.86","510,297.00","104.38","Canada","NASDAQ","USD"
"WDAY","WORKDAY CLASS A","EQUITY","Information Technology","Equity","52,223,739.46","0.18","52,223,739.46","268,613.00","194.42","United States","NASDAQ","USD"
"MCHP","MICROCHIP TECHNOLOGY INC","EQUITY","Information Technology","Equity","52,094,374.50","0.18","52,094,374.50","708,767.00","73.50","United States","NASDAQ","USD"
"CRWV","COREWEAVE CLASS A","EQUITY","Information Technology","Equity","51,054,572.08","0.17","51,054,572.08","579,902.00","88.04","United States","NASDAQ","USD"
"RKLB","ROCKET LAB CORP","EQUITY","Industrials","Equity","50,769,702.16","0.17","50,769,702.16","758,776.00","66.91","United States","NASDAQ","USD"
"DXCM","DEXCOM INC","EQUITY","Health Care","Equity","45,201,623.52","0.15","45,201,623.52","506,972.00","89.16","United States","NASDAQ","USD"
"GEHC","GE HEALTHCARE TECHNOLOGIES","EQUITY","Health Care","Equity","43,394,852.21","0.15","43,394,852.21","587,131.00","73.91","United States","NASDAQ","USD"
"ALNY","ALNYLAM PHARMACEUTICALS","EQUITY","Health Care","Equity","42,270,645.52","0.14","42,270,645.52","176,069.00","240.08","United States","NASDAQ","USD"
"CPRT","COPART INC","EQUITY","Industrials","Equity","41,128,853.37","0.14","41,128,853.37","1,233,989.00","33.33","United States","NASDAQ","USD"
"KHC","KRAFT HEINZ","EQUITY","Consumer Staples","Equity","39,342,114.72","0.13","39,342,114.72","1,553,796.00","25.32","United States","NASDAQ","USD"
"MLIFT","CASH COLLATERAL USD MLIFT","CASH","Cash and/or Derivatives","Cash Collateral and Margins","8,633,000.00","0.03","8,633,000.00","8,633,000.00","100.00","United States","-","USD"
"GBP","GBP CASH","CASH","Cash and/or Derivatives","Cash","794,136.72","0.00","794,136.72","582,489.00","136.33","United Kingdom","-","GBP"
"EUR","EUR CASH","CASH","Cash and/or Derivatives","Cash","390,949.61","0.00","390,949.61","335,018.00","116.70","European Union","-","EUR"
"CAD","CAD CASH","CASH","Cash and/or Derivatives","Cash","75.89","0.00","75.89","105.00","72.28","Canada","-","CAD"
"NQU6","NASDAQ 100 E-MINI SEP 26","FUTURE","Cash and/or Derivatives","Futures","0.00","0.00","118,863,605.00","203.00","29,276.75","-","Index And Options Market","USD"

